X,Y,sY
"14,00","0,09","0,01"
"15,00","0,23","0,02"
"17,00","0,52","0,03"
"19,00","0,86","0,05"
"20,00","0,91","0,06"
"21,00","1,05","0,06"
"22,00","1,16","0,06"
"24,00","1,38","0,07"
"26,00","1,36","0,07"
"28,00","1,31","0,07"
"29,00","1,15","0,06"
"30,00","1,04","0,06"
"31,00","0,97","0,05"
"32,00","0,90","0,05"
"33,00","0,63","0,02"
"34,00","0,68","0,04"
"35,00","0,54","0,03"
"37,00","0,28","0,02"
"38,00","0,33","0,02"
"39,00","0,26","0,02"
"39,00","0,24","0,02"
"41,00","0,05","0,00"
"42,00","0,13","0,01"
"45,00","0,04","0,00"
"47,00","0,02","0,00"
